repo,date,cwe,severity,year
SSameer20/SkinAI,2024-10-19 15:15:25+00:00,CWE-287 (认证问题),Medium,2024
SSameer20/SkinAI,2024-10-19 10:55:04+00:00,CWE-287 (认证问题),Medium,2024
SSameer20/SkinAI,2024-10-16 07:57:03+00:00,CWE-287 (认证问题),Medium,2024
SSameer20/SkinAI,2024-06-25 18:16:33+00:00,CWE-287 (认证问题),Medium,2024
SSameer20/SkinAI,2024-06-25 18:04:03+00:00,CWE-287 (认证问题),Low,2024
Smart-AI-Memory/empathy-framework,2025-11-16 17:10:45+00:00,CWE-502 (反序列化),Low,2025
Smart-AI-Memory/empathy-framework,2026-01-28 01:32:19+00:00,CWE-287 (认证问题),High,2026
Smart-AI-Memory/empathy-framework,2025-11-08 16:12:36+00:00,CWE-287 (认证问题),Low,2025
StanfordBDHG/HealthGPT,2025-05-28 04:19:53+00:00,CWE-287 (认证问题),High,2025
StanfordBDHG/HealthGPT,2023-04-19 22:04:03+00:00,CWE-287 (认证问题),High,2023
StanfordBDHG/HealthGPT,2023-04-19 16:34:19+00:00,CWE-287 (认证问题),High,2023
StanfordBDHG/HealthGPT,2024-04-04 10:49:20+00:00,CWE-200 (信息泄露),High,2024
StanfordBDHG/HealthGPT,2023-08-02 07:55:44+00:00,CWE-287 (认证问题),High,2023
StanfordBDHG/HealthGPT,2023-06-27 05:49:04+00:00,CWE-287 (认证问题),High,2023
StanfordBDHG/HealthGPT,2023-06-10 18:19:37+00:00,CWE-287 (认证问题),High,2023
StanfordBDHG/HealthGPT,2023-05-20 15:39:21+00:00,CWE-287 (认证问题),High,2023
StanfordBDHG/HealthGPT,2023-05-05 13:29:24+00:00,CWE-287 (认证问题),High,2023
StanfordBDHG/HealthGPT,2023-05-04 13:10:32+00:00,CWE-287 (认证问题),High,2023
StanfordBDHG/HealthGPT,2023-05-02 00:25:09+00:00,CWE-287 (认证问题),High,2023
StanfordBDHG/HealthGPT,2023-04-25 01:28:19+00:00,CWE-287 (认证问题),High,2023
StanfordBDHG/HealthGPT,2023-04-21 08:35:52+00:00,CWE-287 (认证问题),High,2023
StanfordBDHG/HealthGPT,2023-04-20 12:17:13+00:00,CWE-287 (认证问题),High,2023
StanfordBDHG/HealthGPT,2023-04-19 17:50:11+00:00,CWE-287 (认证问题),High,2023
StanfordBDHG/HealthGPT,2023-04-19 15:56:45+00:00,CWE-287 (认证问题),High,2023
StanfordBDHG/HealthGPT,2023-04-19 10:54:02+00:00,CWE-287 (认证问题),High,2023
StanfordBDHG/HealthGPT,2023-04-19 04:05:21+00:00,CWE-287 (认证问题),High,2023
StanfordBDHG/HealthGPT,2023-04-19 02:02:49+00:00,CWE-287 (认证问题),High,2023
StanfordBDHG/HealthGPT,2023-04-18 12:56:22+00:00,CWE-287 (认证问题),High,2023
StanfordBDHG/HealthGPT,2023-04-18 11:16:33+00:00,CWE-287 (认证问题),High,2023
TarekkMU1911/AI-Agent-Diabetes-Diagnosis,2025-09-10 16:44:11+00:00,CWE-200 (信息泄露),Medium,2025
The-Swarm-Corporation/HospitalSim,2025-08-11 07:21:13+00:00,CWE-502 (反序列化),High,2025
The-Swarm-Corporation/MedGuard,2025-07-21 23:03:44+00:00,CWE-502 (反序列化),High,2025
The-Swarm-Corporation/MedicalCoderSwarm,2025-07-28 23:11:07+00:00,CWE-502 (反序列化),High,2025
The-Swarm-Corporation/MedicalCoderSwarm,2025-01-20 20:19:53+00:00,CWE-287 (认证问题),High,2025
The-Swarm-Corporation/MedicalCoderSwarm,2024-12-31 14:46:28+00:00,CWE-287 (认证问题),Medium,2024
The-Swarm-Corporation/radiology-swarm,2025-07-21 00:10:59+00:00,CWE-502 (反序列化),High,2025
UCSC-VLAA/o1_medical,2024-09-25 09:10:29+00:00,CWE-200 (信息泄露),Medium,2024
WangRongsheng/CareGPT,2023-12-09 00:03:02+00:00,CWE-287 (认证问题),High,2023
berntpopp/phentrieve,2025-12-10 20:25:48+00:00,CWE-502 (反序列化),Low,2025
berntpopp/phentrieve,2025-12-10 00:18:32+00:00,CWE-502 (反序列化),Low,2025
berntpopp/phentrieve,2025-12-08 14:55:36+00:00,CWE-502 (反序列化),Medium,2025
berntpopp/phentrieve,2025-12-08 09:04:28+00:00,CWE-502 (反序列化),Medium,2025
berntpopp/phentrieve,2025-12-05 13:26:01+00:00,CWE-79 (XSS/注入),Low,2025
berntpopp/phentrieve,2025-12-05 13:06:13+00:00,CWE-79 (XSS/注入),Low,2025
berntpopp/phentrieve,2025-12-01 10:38:00+00:00,CWE-502 (反序列化),Medium,2025
berntpopp/phentrieve,2025-12-01 10:00:10+00:00,CWE-79 (XSS/注入),High,2025
berntpopp/phentrieve,2025-12-01 09:59:43+00:00,CWE-502 (反序列化),Medium,2025
berntpopp/phentrieve,2025-12-01 09:58:30+00:00,CWE-79 (XSS/注入),Medium,2025
berntpopp/phentrieve,2025-12-01 09:58:07+00:00,CWE-79 (XSS/注入),Medium,2025
berntpopp/phentrieve,2025-12-01 09:53:55+00:00,CWE-502 (反序列化),Low,2025
berntpopp/phentrieve,2025-12-01 09:53:13+00:00,CWE-502 (反序列化),Medium,2025
berntpopp/phentrieve,2025-12-10 22:13:54+00:00,CWE-287 (认证问题),Low,2025
berntpopp/phentrieve,2025-12-09 16:43:29+00:00,CWE-502 (反序列化),Low,2025
berntpopp/phentrieve,2025-12-08 11:22:00+00:00,CWE-79 (XSS/注入),Low,2025
berntpopp/phentrieve,2025-12-05 13:28:12+00:00,CWE-200 (信息泄露),Low,2025
berntpopp/phentrieve,2025-11-30 21:35:19+00:00,CWE-79 (XSS/注入),High,2025
berntpopp/phentrieve,2025-11-30 16:59:51+00:00,CWE-79 (XSS/注入),High,2025
berntpopp/phentrieve,2025-11-20 15:58:41+00:00,CWE-79 (XSS/注入),High,2025
berntpopp/phentrieve,2025-11-20 09:05:30+00:00,CWE-200 (信息泄露),Medium,2025
berntpopp/phentrieve,2025-11-19 10:17:40+00:00,CWE-79 (XSS/注入),Low,2025
berntpopp/phentrieve,2025-11-19 09:28:11+00:00,CWE-502 (反序列化),Medium,2025
berntpopp/phentrieve,2025-11-19 06:43:59+00:00,CWE-79 (XSS/注入),Medium,2025
berntpopp/phentrieve,2025-11-19 06:10:27+00:00,CWE-79 (XSS/注入),Medium,2025
biocontext-ai/registry,2026-01-13 11:27:23+00:00,CWE-287 (认证问题),Medium,2026
biocontext-ai/registry,2026-01-20 15:43:55+00:00,CWE-502 (反序列化),Low,2026
biocontext-ai/registry,2026-01-20 12:05:44+00:00,CWE-502 (反序列化),High,2026
biocontext-ai/registry,2026-01-12 10:26:38+00:00,CWE-502 (反序列化),High,2026
biocontext-ai/registry,2025-12-08 17:53:44+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-11-22 16:28:00+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-11-20 05:04:25+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-11-17 16:03:41+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-11-16 01:34:25+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-11-12 20:53:46+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-10-27 20:51:49+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-10-27 12:44:18+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-10-26 19:26:41+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-10-20 19:16:43+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-10-17 21:48:39+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-10-02 12:48:28+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-09-12 16:04:29+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-09-11 21:12:54+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-09-02 12:53:37+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-08-28 13:47:20+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-08-26 07:03:16+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-08-25 22:07:40+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-08-18 10:00:01+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-08-13 20:17:47+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-08-06 21:33:56+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-07-31 22:34:18+00:00,CWE-502 (反序列化),High,2025
biocontext-ai/registry,2025-07-29 14:25:59+00:00,CWE-502 (反序列化),High,2025
eltzanis/mAIstro,2025-08-12 21:13:01+00:00,CWE-287 (认证问题),High,2025
fleXRPL/healthweave,2025-12-09 19:05:05+00:00,CWE-502 (反序列化),Low,2025
fleXRPL/healthweave,2025-12-09 19:03:03+00:00,CWE-287 (认证问题),Low,2025
fleXRPL/healthweave,2025-12-09 19:02:21+00:00,CWE-200 (信息泄露),High,2025
fleXRPL/healthweave,2025-12-09 18:59:39+00:00,CWE-287 (认证问题),High,2025
fleXRPL/healthweave,2025-12-09 18:12:10+00:00,CWE-200 (信息泄露),Medium,2025
fleXRPL/healthweave,2026-01-18 17:27:30+00:00,CWE-287 (认证问题),High,2026
fleXRPL/healthweave,2025-12-31 03:20:40+00:00,CWE-287 (认证问题),High,2025
fleXRPL/healthweave,2025-12-31 03:20:33+00:00,CWE-502 (反序列化),High,2025
fleXRPL/healthweave,2025-12-24 02:02:49+00:00,CWE-502 (反序列化),High,2025
fleXRPL/healthweave,2025-12-11 18:52:05+00:00,CWE-502 (反序列化),Medium,2025
giovanni2398/healthgpt,2025-04-24 18:29:00+00:00,CWE-287 (认证问题),Medium,2025
giovanni2398/healthgpt,2025-04-22 00:48:24+00:00,CWE-287 (认证问题),Medium,2025
giovanni2398/healthgpt,2025-04-29 22:49:02+00:00,CWE-79 (XSS/注入),Medium,2025
giovanni2398/healthgpt,2025-04-29 22:09:34+00:00,CWE-287 (认证问题),Low,2025
giovanni2398/healthgpt,2025-04-29 17:27:34+00:00,CWE-287 (认证问题),Medium,2025
kalviumcommunity/HealthGPT,2025-08-06 03:59:39+00:00,CWE-200 (信息泄露),Low,2025
kyegomez/Med-PaLM,2023-08-17 03:08:42+00:00,CWE-287 (认证问题),Medium,2023
mdbasit897/clinical-bp-prediction-ehr,2025-07-29 09:17:06+00:00,CWE-287 (认证问题),High,2025
microsoft/BioGPT,2025-02-03 22:45:36+00:00,CWE-287 (认证问题),High,2025
microsoft/BioGPT,2024-02-29 05:23:24+00:00,CWE-287 (认证问题),High,2024
microsoft/healthcare-ai-model-evaluator,2026-01-14 09:32:11+00:00,CWE-502 (反序列化),Low,2026
microsoft/healthcare-ai-model-evaluator,2025-09-09 00:36:41+00:00,CWE-287 (认证问题),High,2025
microsoft/healthcare-ai-model-evaluator,2025-12-12 10:54:04+00:00,CWE-502 (反序列化),High,2025
microsoft/healthcare-ai-model-evaluator,2025-11-16 14:15:13+00:00,CWE-502 (反序列化),High,2025
microsoft/healthcare-ai-model-evaluator,2025-11-14 19:05:43+00:00,CWE-287 (认证问题),Low,2025
microsoft/healthcare-ai-model-evaluator,2025-11-14 17:21:19+00:00,CWE-79 (XSS/注入),Low,2025
microsoft/healthcare-ai-model-evaluator,2025-11-14 17:21:09+00:00,CWE-287 (认证问题),Low,2025
microsoft/healthcare-ai-model-evaluator,2025-11-14 17:19:47+00:00,CWE-287 (认证问题),Low,2025
mims-harvard/ClinVec,2025-05-13 09:49:40+00:00,CWE-287 (认证问题),Low,2025
mims-harvard/ClinVec,2024-12-24 12:20:53+00:00,CWE-502 (反序列化),High,2024
mims-harvard/G-Meta,2021-11-03 12:31:38+00:00,CWE-287 (认证问题),Medium,2021
mims-harvard/Madrigal,2025-02-18 08:11:57+00:00,CWE-502 (反序列化),Medium,2025
mims-harvard/Madrigal,2025-02-18 07:59:17+00:00,CWE-502 (反序列化),Medium,2025
mims-harvard/Madrigal,2025-01-28 15:21:36+00:00,CWE-502 (反序列化),Low,2025
mims-harvard/MedTok,2025-07-15 10:22:25+00:00,CWE-287 (认证问题),High,2025
mims-harvard/PDGrapher,2025-11-13 07:16:18+00:00,CWE-287 (认证问题),Low,2025
mims-harvard/PINNACLE,2024-09-14 01:14:07+00:00,CWE-287 (认证问题),Medium,2024
mims-harvard/PhylaNeurips,2025-08-02 02:25:42+00:00,CWE-287 (认证问题),Medium,2025
